Title,Data Type,Latitude/Longitude,Last updated,Station ID,Water level (MLLW),Water level (MHHW),Event
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-02 17:06:00,8726384,1.135,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-08 10:48:00,8726384,1.886,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-11 07:00:00,8726384,1.483,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-19 14:24:00,8726384,1.752,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-10 07:24:00,8726384,1.342,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-15 09:24:00,8726384,3.369,1.194,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-06 20:00:00,8726384,2.018,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-24 03:18:00,8726384,,0.43,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-01 09:36:00,8726384,3.442,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-08-31 05:36:00,8726384,2.238,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-09-10 12:06:00,8726384,1.234,,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-19 21:24:00,8726384,3.091,0.915,Non-hurricane
PORT MANATEE,tidal gauge (historical),27.6387/-82.5621,2024-10-18 04:36:00,8726384,0.03,-2.146,Non-hurricane
